"name","longitude","latitude","prov","date","key"
"Firoloida desmarestia","35.51666667","34.21666667","obis",NA,"0124d8a4-0705-4542-9537-6aa550a8f6c7"
"Firoloida desmarestia","35.46666667","33.96666667","obis",NA,"0155af94-4c0a-4e03-bed0-9967a49eb230"
"Firoloida desmarestia","83.7404","9.1103","obis",NA,"01b9bc24-5cf4-42a7-bb4e-c46a03667680"
"Firoloida desmarestia","-125.9830017","6.166999817","obis",1975-01-28,"0379d505-4c13-4c2e-9898-8e3f4eaafeed"
"Firoloida desmarestia","63.420277","-19.678333","obis",NA,"09836f23-780a-4039-819b-ca2976e514c8"
"Firoloida desmarestia","35.48333333","33.98333333","obis",NA,"0b8041b6-9d05-4796-ba4c-deeecf736f00"
"Firoloida desmarestia","-101.1500015","15.99833012","obis",NA,"0d156cca-67bf-4e19-a58e-fe78ba7f7c68"
"Firoloida desmarestia","35.53333333","34.41666667","obis",NA,"114ca0df-c5cb-4542-a8f5-a0bcd6ddc8e9"
"Firoloida desmarestia","-86.55963898","30.41911125","obis",NA,"151da4da-0067-4241-b10c-09eea0632bcd"
"Firoloida desmarestia","-92.05000305","-1.850000024","obis",NA,"2186bfe4-99f3-42c6-bc26-ada284aabac6"
"Firoloida desmarestia","35.46666667","33.95","obis",NA,"25d8ddc6-6a5c-486e-b6d6-5e327617d000"
"Firoloida desmarestia","-118.9670029","-7.699999809","obis",1975-01-12,"26e0e5cd-0d5e-4ef6-9dcd-6cad45ac3837"
"Firoloida desmarestia","35.43333333","34.2","obis",NA,"27dfe0d0-6eeb-4f74-9973-6480412cc318"
"Firoloida desmarestia","35.5","34.1","obis",NA,"332faf88-60e7-42cd-b081-94bfe2426bab"
"Firoloida desmarestia","-92.03299713","-12.31700039","obis",NA,"382c7056-734f-4263-ab10-2a3616b660c8"
"Firoloida desmarestia","-94.02115631","18.39526176","obis",NA,"41ab0fdf-bc81-4732-ba92-693376532b0b"
"Firoloida desmarestia","35.5","34","obis",NA,"41d3fe2e-e0c9-44da-b4d5-e3635d6b9ed5"
"Firoloida desmarestia","35.5","34","obis",NA,"42fc663a-bcb9-4aee-af12-5166fdd5eb8b"
"Firoloida desmarestia","35.5","34.1","obis",NA,"4316b0b7-8804-4106-9a6f-ecedeb97b9c3"
"Firoloida desmarestia","35.5","33.91666667","obis",NA,"4681089b-753a-4257-a20b-78177d09b20b"
"Firoloida desmarestia","17.2735","40.028","obis",NA,"46fa91e2-b88d-48bc-bda0-e1cfa3e570c5"
"Firoloida desmarestia","25","35.16699982","obis",NA,"49bb4ed2-8700-4e80-b040-d42061be6adc"
"Firoloida desmarestia","35.43333333","34.2","obis",NA,"500e9d5d-e43d-41ce-914c-a5131cfd70c3"
"Firoloida desmarestia","-97.63271332","22.33607483","obis",NA,"520a949c-a41f-4757-b3bc-13b75596ba87"
"Firoloida desmarestia","55.666668","-4.582778","obis",NA,"5364e890-6d0e-4772-af27-96c05d68a883"
"Firoloida desmarestia","25","35.16699982","obis",NA,"53eede9e-69af-4f53-b008-bae74a61a816"
"Firoloida desmarestia","-97.44389343","22.40377617","obis",NA,"56e249a8-fe0c-4090-8561-961ae98f3b4b"
"Firoloida desmarestia","35.53333333","34.05","obis",NA,"5a674f07-e257-4924-925a-39dc4c1a2293"
"Firoloida desmarestia","-87.88371277","21.57045364","obis",NA,"5bd875f2-c0d8-4b6d-8a3f-42f8f2dca8de"
"Firoloida desmarestia","28.57016667","33.60483333","obis",NA,"5f961497-8e1a-49e8-8714-fdb3c7f94ea0"
