"decimalLatitude","decimalLongitude","scientificName","id","day","eventDate","month","year"
0.391669988632,-119.025001526,"Firoloida desmarestia","8cf9a16b-6cd5-48b7-ae3b-f2c371d97213","17","1967-08-17T12:00:00Z","8","1967"
34.1,35.5,"Firoloida desmarestia","8fceb1fb-fb5d-4445-ad2d-b0f4a29bd176",NA,"1973-06/1990-12",NA,NA
34.1,35.5,"Firoloida desmarestia","952c1c52-f534-4473-8600-a7a785e6d257",NA,"1972-06/1982-12",NA,NA
18.3952617645,-94.021156311,"Firoloida desmarestia","98716cbb-9318-4bd5-8631-e2a83cb17fc5",NA,NA,NA,NA
22.279958725,-97.7937316895,"Firoloida desmarestia","99a22305-bb94-4aca-aa95-415ec539ffdc",NA,NA,NA,NA
34,35.5,"Firoloida desmarestia","9d7041f7-45d7-4e0d-a997-2db34dbf9de3",NA,"1973-06/1990-12",NA,NA
6.08300018311,-118.849998474,"Firoloida desmarestia","9f3f4c90-21a5-44d1-8b87-b27ad526ee61","4","1967-02-04T12:00:00Z","2","1967"
5.5,-112.025001526,"Firoloida desmarestia","a1305f5c-50a8-4276-b728-c511d84d0f3f",NA,NA,NA,NA
29.9289264679,-86.8768081665,"Firoloida desmarestia","aca27598-e3e1-4965-b523-b6a404099e1a",NA,NA,NA,NA
-20.383333,44.216667,"Firoloida desmarestia","aead635a-f96e-40ed-89a1-630744ed351d",NA,"1817",NA,NA
34.2,35.5,"Firoloida desmarestia","bce722a0-fa02-463b-98b8-f9ea40de32b6",NA,"1973-06/1982-12",NA,NA
33.916666667,35.5,"Firoloida desmarestia","bd37ca2c-9c0a-45b7-95e9-0dee4bb190a7",NA,"1970-07/1972-10",NA,NA
-2.367000103,-118.724998474,"Firoloida desmarestia","c023f72d-080e-4842-bf09-ecaf6cd49a11","17","1967-08-17T12:00:00Z","8","1967"
34.216666667,35.516666667,"Firoloida desmarestia","cba54694-2cf2-4440-a21d-97a9f3ec5df3",NA,"1973-06/1982-12",NA,NA
23.2547931671,-88.9384689331,"Firoloida desmarestia","cdf40672-09d0-44fa-8510-660d94576366",NA,NA,NA,NA
34.416666667,35.533333333,"Firoloida desmarestia","ce3c7b42-192e-4a18-847d-0c1b1497ab06",NA,"1995-04/2002-06",NA,NA
